artist,artist_id,artist_pop,artist_genres,album,album_id,track_name,track_id,track_pop,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist
Canyon City,6TdfKQvrdHZdr4DIzjuWOr,55,"[acoustic pop, indie folk, indiecoustica, neo mellow, viral pop]",Blood,2A3a9WxEKjpG4nLdJrTQcX,Blood,0Ht4rJqj1RsXPrgbhbcDOa,38,0.392,0.38,3,-10.429,1,0.0418,0.723,0,0.0972,0.155,82.901,236427,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Terrible Sons,3eaJ1prUilN6z7yoFx9u2g,27,[nz pop],Hold Your Light High,2ifiuogRnLndEpyV8WT5HW,Hold Your Light High,3q95zAsgnhbbb9JOsFY5R2,27,0.64,0.525,8,-9.957,1,0.0712,0.144,0.00805,0.0881,0.401,78.462,192903,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
SYML,6AyATGg7mDgBlZ4N5uNog0,74,[pop],Believer,0h77eG0HVYZ2ki4T9qIHou,Believer,4QthYp34wrGAPQEvbz9QNS,56,0.633,0.358,0,-7.587,1,0.0302,0.151,2.03E-05,0.415,0.372,151.651,263253,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Candace Coker,0Frnv8PiVZxpcdUSLZSNj1,29,[],Desert,38xQ2BLCGy76OWe83xBd5F,Desert,0V0InkpxgeM3jvYDRiMF16,29,0.336,0.472,8,-10.384,1,0.0386,0.78,0,0.143,0.314,84.49,281440,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Luca Fogale,3GKdEPHUSBp3iNT4SG2Med,54,"[indie folk, indiecoustica, neo mellow, vancouver indie]",Worthy of Love,3XgCxu1CP5FAlldLmjM8iz,Worthy of Love,66GRHLr19DHo2q513qnBM3,50,0.296,0.525,0,-7.925,1,0.0561,0.576,4.42E-06,0.0958,0.229,195.484,202988,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Hazlett,1zO3MgzmcwZLLNUQqeU2XH,53,"[brisbane indie, indie anthem-folk, indie folk]",Part Time Lovers,0wcyQMBIXTuUJz3FokoVwp,Part Time Lovers,5PSnffyT93zHiE23tRsL0O,41,0.548,0.395,0,-16.282,1,0.0378,0.622,0.00771,0.103,0.138,131.82,190962,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Voyageur,4e96iK3tKVtBuCdQPjoik8,36,[modern indie folk],What Was Done,2c4z8zQdLbP3qhY5Za0yu2,What Was Done,6Gly36D1SdI7f7uzPgedmO,26,0.291,0.414,5,-9.884,1,0.0452,0.335,0.000308,0.0836,0.209,196.512,263480,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Charlie Oriain,0rNWn0b2f8PiL8VAdDR152,54,[],Grow Out Of It,6IWfby0SmSyiU2SSktO7E7,Grow Out Of It,58CUtwjF3a0YrYR5Akh3cn,41,0.491,0.258,9,-14.973,1,0.112,0.782,0,0.0928,0.347,158.862,151106,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Gabrielle Grace,04I7vAN53FF1W4I3c0kdnS,27,[],Two Sides,0sC9iuT32r2Han1fXTF3OI,Two Sides,22OoC2yDLHILWAfKVpFJpp,21,0.527,0.44,8,-9.16,1,0.028,0.0812,0.0388,0.0816,0.176,137.099,312900,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],Indie / Pop / Folk Compilation: March 2023,6Ngp5vLfQgZly5bLLihe82,Late Autumn Light,54KqieMgONWtMILu9LnJB1,17,0.523,0.335,11,-12.167,1,0.0298,0.612,0.000302,0.126,0.138,72.544,266652,4,Indie/Pop/Folk Compilation - February 2023 (alexrainbirdMusic)
